Datetime,Close
2026-05-28 13:30:00+00:00,101.05000305175781
2026-05-28 13:31:00+00:00,100.93000030517578
2026-05-28 13:33:00+00:00,100.59500122070312
2026-05-28 13:34:00+00:00,100.33499908447266
2026-05-28 13:35:00+00:00,99.86000061035156
2026-05-28 13:36:00+00:00,100.08000183105469
2026-05-28 13:38:00+00:00,100.08499908447266
2026-05-28 13:39:00+00:00,100.58999633789062
2026-05-28 13:40:00+00:00,100.4000015258789
2026-05-28 13:41:00+00:00,100.31500244140625
2026-05-28 13:43:00+00:00,100.63999938964844
2026-05-28 13:44:00+00:00,100.86000061035156
2026-05-28 13:46:00+00:00,100.80500030517578
2026-05-28 13:47:00+00:00,101.0
2026-05-28 13:48:00+00:00,101.08999633789062
2026-05-28 13:49:00+00:00,100.62000274658203
2026-05-28 13:50:00+00:00,100.68000030517578
2026-05-28 13:51:00+00:00,100.83999633789062
2026-05-28 13:52:00+00:00,100.75
2026-05-28 13:53:00+00:00,100.87999725341797
2026-05-28 13:54:00+00:00,100.91500091552734
2026-05-28 13:56:00+00:00,100.95999908447266
2026-05-28 13:57:00+00:00,100.87999725341797
2026-05-28 13:58:00+00:00,100.81999969482422
2026-05-28 13:59:00+00:00,100.86000061035156
2026-05-28 14:00:00+00:00,101.13999938964844
2026-05-28 14:01:00+00:00,101.36000061035156
2026-05-28 14:02:00+00:00,101.02999877929688
2026-05-28 14:03:00+00:00,101.16999816894531
2026-05-28 14:05:00+00:00,101.0
2026-05-28 14:06:00+00:00,100.83000183105469
2026-05-28 14:07:00+00:00,100.83000183105469
2026-05-28 14:08:00+00:00,100.70999908447266
2026-05-28 14:09:00+00:00,100.5199966430664
2026-05-28 14:10:00+00:00,100.47000122070312
2026-05-28 14:11:00+00:00,100.38999938964844
2026-05-28 14:12:00+00:00,100.81999969482422
2026-05-28 14:13:00+00:00,101.51000213623047
2026-05-28 14:14:00+00:00,101.625
2026-05-28 14:15:00+00:00,101.83499908447266
2026-05-28 14:16:00+00:00,101.91999816894531
2026-05-28 14:17:00+00:00,101.75499725341797
2026-05-28 14:18:00+00:00,101.75499725341797
2026-05-28 14:20:00+00:00,101.44499969482422
2026-05-28 14:21:00+00:00,101.46499633789062
2026-05-28 14:22:00+00:00,101.5
2026-05-28 14:23:00+00:00,101.56999969482422
2026-05-28 14:24:00+00:00,101.75
2026-05-28 14:25:00+00:00,101.6500015258789
2026-05-28 14:26:00+00:00,101.88999938964844
2026-05-28 14:27:00+00:00,101.80500030517578
2026-05-28 14:28:00+00:00,101.77999877929688
2026-05-28 14:29:00+00:00,101.83000183105469
2026-05-28 14:30:00+00:00,101.80000305175781
2026-05-28 14:31:00+00:00,102.03500366210938
2026-05-28 14:32:00+00:00,101.65499877929688
2026-05-28 14:33:00+00:00,101.63480377197266
2026-05-28 14:36:00+00:00,101.71659851074219
2026-05-28 14:38:00+00:00,101.69000244140625
2026-05-28 14:39:00+00:00,101.7938003540039
2026-05-28 14:40:00+00:00,101.80500030517578
2026-05-28 14:41:00+00:00,101.73999786376953
2026-05-28 14:42:00+00:00,101.72000122070312
2026-05-28 14:43:00+00:00,101.72000122070312
2026-05-28 14:44:00+00:00,101.73500061035156
2026-05-28 14:45:00+00:00,101.79000091552734
2026-05-28 14:46:00+00:00,101.77999877929688
2026-05-28 14:47:00+00:00,101.91999816894531
2026-05-28 14:48:00+00:00,102.04000091552734
2026-05-28 14:49:00+00:00,102.04499816894531
2026-05-28 14:50:00+00:00,102.06999969482422
2026-05-28 14:51:00+00:00,101.94000244140625
2026-05-28 14:52:00+00:00,101.98500061035156
2026-05-28 14:54:00+00:00,102.1500015258789
2026-05-28 14:55:00+00:00,102.06999969482422
2026-05-28 14:56:00+00:00,101.93000030517578
2026-05-28 14:58:00+00:00,101.80000305175781
2026-05-28 14:59:00+00:00,101.87999725341797
2026-05-28 15:02:00+00:00,101.875
2026-05-28 15:03:00+00:00,102.01000213623047
2026-05-28 15:05:00+00:00,102.5199966430664
2026-05-28 15:06:00+00:00,102.58000183105469
2026-05-28 15:07:00+00:00,102.71499633789062
2026-05-28 15:08:00+00:00,102.71499633789062
2026-05-28 15:09:00+00:00,102.63999938964844
2026-05-28 15:11:00+00:00,102.63999938964844
2026-05-28 15:12:00+00:00,102.625
2026-05-28 15:13:00+00:00,102.75
2026-05-28 15:14:00+00:00,102.7300033569336
2026-05-28 15:15:00+00:00,102.52999877929688
2026-05-28 15:17:00+00:00,102.50499725341797
2026-05-28 15:19:00+00:00,102.44000244140625
